name;category;address;neighborhood;city;latitude;longitude;website;phone;facebook;instagram;description
Founders Brewing Co.;Brewery;235 Grandville Ave SW;Downtown;Grand Rapids;42.9598;-85.6781;https://foundersbrewing.com;(616) 776-1195;foundersbrewing;foundersbrewing;Grand Rapids' iconic craft brewery known for All Day IPA and CBS. Full taproom with kitchen serving elevated pub food.
Brewery Vivant;Brewery;925 Cherry St SE;Eastown;Grand Rapids;42.9533;-85.6558;https://breweryvivant.com;(616) 719-1604;breweryvivant;breweryvivant;Farm-to-table brewery in a repurposed funeral chapel. Known for Belgian-style ales and locally sourced food.
New Holland Brewing (Knickerbocker);Brewery;417 Bridge St NW;West Side;Grand Rapids;42.968;-85.6812;https://newhollandbrew.com;(616) 666-0765;newhollandbrew;newhollandbrew;Expansive brewpub in the historic Knickerbocker building. Dragon's Milk bourbon barrel stout is legendary.
Mitten Brewing Co.;Brewery;527 Leonard St NW;West Side;Grand Rapids;42.9751;-85.6795;https://mittenbrewing.com;(616) 608-5612;mittenbrewing;mittenbrewing;Baseball-themed brewery and pizzeria in a converted firehouse. Family-friendly with great outdoor space.
Speciation Artisan Ales;Brewery;928 Wealthy St SE;Eastown;Grand Rapids;42.9521;-85.6524;https://speciationbeer.com;(616) 551-5955;speciationbeer;speciationales;Experimental wild and mixed-fermentation ales. Rotating tap list of sour and farmhouse styles.
Arvon Brewing Co.;Brewery;1006 Division Ave S;Heartside;Grand Rapids;42.9555;-85.6673;https://arvonbrewing.com;(616) 204-9131;arvonbrewing;arvonbrewing;Neighborhood taproom focused on New England IPAs heavily fruited sours and bold stouts.
Greyline Brewing Co.;Brewery;1727 Alpine Ave NW;Northwest;Grand Rapids;42.9896;-85.6842;https://greylinebrewing.com;(616) 249-1936;greylinebrewing;greylinebrewing;Neighborhood brewery with rotating taps and a welcoming taproom on the northwest side.
Railtown Brewing;Brewery;316 Rumsey St SW;Heartside;Grand Rapids;42.9572;-85.6748;https://railtownbrewing.com;(616) 608-5700;railtownbrewing;railtownbrewing;Small-batch brewery in the Heartside neighborhood. Known for olive burgers and approachable craft beer.
Atwater Brewery;Brewery;201 Michigan St NE;Downtown;Grand Rapids;42.9672;-85.6638;https://atwaterbeer.com;(616) 719-9000;atwaterbeer;atwaterbeer;Detroit-born brewery in the historic Rowe building. Rotating taps brewed exclusively for Grand Rapids.
Broad Leaf Local Beer;Brewery;4835 Broadmoor Ave SE;Kentwood;Grand Rapids;42.9021;-85.5981;https://broadleafbeer.com;(616) 608-5720;broadleafbeer;broadleafbeer;Sister brewery to Brewery Vivant. Approachable and innovative craft beer with a community taproom feel.
Perrin Brewing Co.;Brewery;5910 Comstock Park Dr NW;Comstock Park;Grand Rapids;43.0398;-85.6921;https://perrinbrewing.com;(616) 784-8001;perrinbrewing;perrinbrewing;Award-winning brewery just north of GR. Known for Black Ale and a full kitchen with excellent pub food.
Vander Mill Cider;Brewery;505 Ball Ave NE;Northeast;Grand Rapids;42.974;-85.6512;https://vandermill.com;(616) 608-5730;vandermillcider;vandermillcider;Michigan's premier craft cider taproom. Rotating seasonal ciders made from locally pressed Michigan apples.
Peoples Cider Co.;Brewery;505 Ball Ave NE;Northeast;Grand Rapids;42.974;-85.651;https://peoplescider.com;(616) 608-5740;peoplescider;peoplescider;Grand Rapids' original craft cidery. Premium dry ciders made with Michigan apples in a relaxed taproom.
Eastern Kille Distillery;Brewery;46 Washington St NW;Downtown;Grand Rapids;42.9681;-85.6702;https://easternkille.com;(616) 608-5760;easternkilledistillery;easternkille;Craft spirits distillery and cocktail lounge. Inventive seasonal menus highlighting precision and playfulness.
Bier Distillery;Brewery;760 Cascade Rd SE;Cascade;Grand Rapids;42.9301;-85.5921;https://bierdistillery.com;(616) 608-5770;bierdistillery;bierdistillery;Dutch-American inspired craft brewery and distillery. Unique blend of Dutch and American bar food and rotating craft beer.
Kusterer Brauhaus;Brewery;642 Bridge St NW;West Side;Grand Rapids;42.9681;-85.6801;https://kustererbrauhaus.com;(616) 608-5780;kustererbrauhaus;kustererbrauhaus;Traditional German-style brauhaus on Bridge Street. Authentic lagers and ales brewed on-site with a German pub food menu.
Lost Art Brewhouse;Brewery;3393 Remembrance Rd NW;Walker;Grand Rapids;43.0021;-85.7142;https://lostartbrewhouse.com;(616) 608-5790;lostartbrewhouse;lostartbrewhouse;Community brewery focused on recreating historic and forgotten beer styles from around the world.
Pink Barrel Cellars;Brewery;3025 Six Mile Rd NW;Northwest;Grand Rapids;43.0181;-85.7021;https://pinkbarrelcellars.com;(616) 608-5795;pinkbarrelcellars;pinkbarrelcellars;Boutique winery and cidery with a relaxed tasting room. Michigan fruit wines and rotating seasonal ciders.
Mammoth Distilling;Brewery;221 Grandville Ave SW;Downtown;Grand Rapids;42.9601;-85.678;https://mammothdistilling.com;(616) 608-5797;mammothdistilling;mammothdistilling;Craft distillery producing Michigan-sourced whiskeys gins and vodkas. Full cocktail bar with small bites.
Long Road Distillers;Brewery;3 Ottawa Ave NW;Downtown;Grand Rapids;42.9688;-85.6706;https://longroaddistillers.com;(616) 299-3007;longroaddistillers;longroaddistillers;Grand Rapids' first craft distillery. Award-winning vodka gin and whiskey with a full cocktail menu and locally sourced food.
HopCat;Bar;25 Ionia Ave SW;Downtown;Grand Rapids;42.9638;-85.6699;https://hopcat.com;(616) 451-4677;hopcatgrandrapids;hopcatgr;Beloved craft beer bar with 100+ taps and famous crack fries. Lively atmosphere and extensive rotating tap list.
Stella's Lounge;Bar;53 Commerce Ave SW;Downtown;Grand Rapids;42.9631;-85.6701;https://stellasgr.com;(616) 742-0093;stellaslounge;stellasloungegr;GQ's best burger in America. 250+ whiskeys and retro arcade games. Iconic dive bar atmosphere downtown.
The Pyramid Scheme;Bar;68 Commerce Ave SW;Downtown;Grand Rapids;42.963;-85.67;https://pyramidschemebar.com;(616) 272-3758;pyramidschemebar;pyramidschemebar;Indie music venue and bar with pinball machines craft cocktails and rotating local and national acts.
SpeakEZ Lounge;Bar;600 Monroe Ave NW;Downtown;Grand Rapids;42.9672;-85.6695;https://speakezlounge.com;(616) 608-5900;speakezlounge;speakezlounge;Prohibition-inspired lounge with craft cocktails worldly cuisine and 12 craft taps. 8-time best brunch winner per Revue Magazine.
SIDEBAR;Bar;80 Ottawa Ave NW;Downtown;Grand Rapids;42.9668;-85.6708;https://sidebar-gr.com;(616) 608-5910;sidebargr;sidebargr;Tiny underground speakeasy with a massive reputation. Intimate craft cocktail bar with exacting attention to detail.
The Nightwatch Lounge;Bar;201 W Fulton St;Downtown;Grand Rapids;42.9649;-85.6721;https://nightwatchlounge.com;(616) 608-5920;nightwatchlounge;nightwatchlounge;Hidden behind a nondescript door downtown. Classy impressionist-art-adorned lounge with boundary-pushing cocktails.
Buffalo Traders Lounge;Bar;950 E Fulton St;East Fulton;Grand Rapids;42.9618;-85.6391;https://buffalotraderslounge.com;(616) 608-5930;buffalotraderslounge;buffalotraderslounge;Art deco blue-and-gold cocktail bar. Inventive cocktails ranging from elegant and refreshing to bold and smoky.
Drip Drop Cocktail Room;Bar;445 Bridge St NW;West Side;Grand Rapids;42.9679;-85.6794;https://dripdropcocktailroom.com;(616) 608-5940;dripdropcocktailroom;dripdropcocktailroom;Playful and eclectic cocktail bar where every drink is an event. Creative seasonal menu on Bridge Street.
Less Traveled;Bar;959 Cherry St SE;Eastown;Grand Rapids;42.9521;-85.6567;https://longroaddistillers.com/less-traveled;(616) 608-5950;lesstraveledbar;lesstraveledbar;Long Road Distillers' moody Cherry Street outpost. Seasonal cocktails with a free amuse-bouche and secret mystery menu.
Divani;Bar;40 Monroe Center St NW;Downtown;Grand Rapids;42.9668;-85.67;https://divanigr.com;(616) 608-5960;divanirestaurant;divanirestaurant;Intimate big-city ambiance with scratch kitchen globally-inspired chef-driven menus and award-winning wine list.
Knoop Rooftop Cocktail Lounge;Bar;131 Ionia Ave SW 8th Floor;Downtown;Grand Rapids;42.9638;-85.6698;https://knooprooftop.com;(616) 608-5970;knooprooftop;knooprooftop;Grand Rapids' premier rooftop bar with sweeping city views. Made-from-scratch small bites and expertly crafted cocktails.
Cottage Bar & Restaurant;Bar;18 La Grave Ave SE;Downtown;Grand Rapids;42.9638;-85.6682;https://cottagebargr.com;(616) 454-9088;cottagebarrestaurant;cottagebargr;Open since 1927 — the oldest operating bar in downtown Grand Rapids. Casual charm and classic bar food.
Meanwhile Bar;Bar;351 W Fulton St;West Side;Grand Rapids;42.9649;-85.6735;https://meanwhilebar.com;(616) 608-5980;meanwhilebar;meanwhilebar;Spacious beer garden with art-adorned red walls and arcade games. 13 Michigan beers on tap in a lively neighborhood setting.
Mo's Cocktail Lounge;Bar;1033 Lake Dr SE;Eastown;Grand Rapids;42.9521;-85.6412;https://mangiamogr.com;(616) 608-5985;mosgr;moscocktaillounge;Retro basement cocktail lounge beneath Mangiamo. Neon signs moody decor vintage art and photogenic approachable drinks.
J. Gardella's Tavern;Bar;115 S Division Ave;Heartside;Grand Rapids;42.9601;-85.6673;https://gardellasbar.com;(616) 608-5987;gardellastavern;gardellastavern;125-year-old hand-crafted bar in the Arena District. Over 100 beers and spirits with an eclectic menu in a historic warehouse.
Pursuit of Happiness Co.;Bar;1514 Wealthy St SE;Eastown;Grand Rapids;42.9521;-85.6471;https://pohgr.com;(616) 608-5988;pursuitofhappinessgr;pursuitofhappinessgr;Uptown craft cocktail bar named one of GR's best. Creative seasonal menu in a welcoming neighborhood setting.
Rezervoir Lounge;Bar;329 Bridge St NW;West Side;Grand Rapids;42.9681;-85.6788;https://rezervoirlounge.com;(616) 608-5989;rezervoirlounge;rezervoirlounge;24 beers on tap with a constant rotation of local and national microbrews. Classic olive burgers and neighborhood atmosphere.
